user_id,item_id,rating,timestamp
287,1,5,875334088
95,1,5,879197329
189,1,5,893264174
340,1,5,884990988
43,1,5,875975579
38,1,5,892430636
96,1,5,884403574
157,1,5,874813703
18,1,5,880130802
45,1,5,881013176
23,1,5,874784615
339,1,5,891032349
42,1,5,881105633
357,1,5,878951216
200,1,5,876042340
256,1,5,882150980
312,1,5,891698832
343,1,5,876402668
298,1,5,884126061
252,1,5,891456989
230,1,5,880484370
93,1,5,888705321
514,1,5,875309276
484,1,5,881450058
472,1,5,892790627
209,1,5,883460644
508,1,5,883777430
1,1,5,874965758
416,1,5,893212483
291,1,5,874834481
479,1,5,879459939
390,1,5,879694066
441,1,5,891035468
16,1,5,877717833
526,1,5,885682562
307,1,5,878066938
649,1,5,891440235
324,1,5,880575412
545,1,5,879901359
330,1,5,876544432
532,1,5,893119335
620,1,5,889987954
263,1,5,891299207
577,1,5,880470282
534,1,5,877807718
691,1,5,875543346
305,1,5,886323153
487,1,5,883443504
77,1,5,884732808
151,1,5,879524151
642,1,5,885603565
708,1,5,877325375
523,1,5,883701763
705,1,5,883427101
276,1,5,874786568
381,1,5,892697394
716,1,5,879793192
676,1,5,892686188
643,1,5,891445287
253,1,5,891628467
697,1,5,882622481
614,1,5,879464093
290,1,5,880474327
770,1,5,875972219
89,1,5,879461219
648,1,5,882211109
395,1,5,883765062
768,1,5,883835025
402,1,5,876266860
435,1,5,884131712
134,1,5,891732756
503,1,5,879438233
804,1,5,879442661
468,1,5,875280395
296,1,5,884196689
168,1,5,884287509
130,1,5,874953595
678,1,5,879544882
669,1,5,892549412
885,1,5,885714990
897,1,5,879994113
887,1,5,881377972
771,1,5,880659449
759,1,5,875227798
821,1,5,874792813
388,1,5,886436813
25,1,5,885853415
303,1,5,879466966
893,1,5,874827725
864,1,5,877214125
715,1,5,875961843
924,1,5,884371535
210,1,5,887731052
58,1,5,884304483
549,1,5,881672182
314,1,5,877886317
661,1,5,876016545
815,1,5,878691975
882,1,5,879864558
294,1,5,877819634
870,1,5,889717102
838,1,5,887064024
606,1,5,878148365
536,1,5,882318394
57,1,5,883698581
922,1,5,891448551
738,1,5,892844079
901,1,5,877129870
767,1,5,891462829
892,1,5,886608185
721,1,5,877137877
927,1,5,879191524
21,1,5,874951244
902,1,5,879465583
941,1,5,875049144
907,1,5,880158712
265,1,5,875320247
398,1,5,875652927
747,1,5,888639138
256,2,5,882164480
346,2,5,875263473
472,2,5,892790676
796,2,5,893048377
566,2,5,881650739
846,2,5,883948949
42,2,5,881109271
532,2,5,893119336
943,2,5,888639953
130,3,5,876250897
472,3,5,892790676
244,3,5,880602451
487,3,5,883444583
551,3,5,892784093
606,3,5,880922084
714,3,5,892777876
586,3,5,884068767
621,3,5,881444887
580,3,5,884125916
859,3,5,885775513
99,4,5,886519097
308,4,5,887737890
216,4,5,880234469
256,4,5,882164525
379,4,5,880525598
87,4,5,879876524
13,4,5,882141306
16,4,5,877726390
468,4,5,875296868
271,4,5,885849357
343,4,5,876408139
666,4,5,880314477
12,4,5,879960826
286,4,5,877531899
7,4,5,891351772
757,4,5,888466461
189,4,5,893265741
671,4,5,884035939
532,4,5,893119415
796,4,5,893048150
363,4,5,891494962
151,4,5,879524922
22,4,5,878886571
846,4,5,883948908
474,4,5,887927588
823,4,5,878438607
934,4,5,891195713
763,4,5,878917877
851,4,5,875731489
332,5,5,888360370
291,5,5,874834799
270,5,5,876956064
256,5,5,882164727
546,5,5,885141411
907,5,5,881030348
1,6,5,887431973
9,6,5,886960055
18,6,5,880130764
662,6,5,880571006
76,6,5,875028165
590,6,5,879439145
524,6,5,884627388
936,6,5,886832636
291,7,5,874834481
28,7,5,881961531
97,7,5,884238939
188,7,5,875073477
214,7,5,892668130
14,7,5,876965061
267,7,5,878970503
222,7,5,877563168
216,7,5,880232719
145,7,5,875270429
295,7,5,879518018
7,7,5,891352220
397,7,5,885349913
79,7,5,891272016
67,7,5,875379794
334,7,5,891544788
227,7,5,879035251
148,7,5,877017054
95,7,5,879197329
56,7,5,892679439
16,7,5,877724066
115,7,5,881171982
403,7,5,879785867
89,7,5,879441422
359,7,5,886453325
453,7,5,877562135
96,7,5,884403811
447,7,5,878854383
141,7,5,884584981
118,7,5,875385198
412,7,5,879717505
394,7,5,880888390
561,7,5,885808738
467,7,5,879532385
474,7,5,887915414
486,7,5,879874753
548,7,5,891044304
21,7,5,874951292
69,7,5,882126086
159,7,5,880485861
472,7,5,892790953
582,7,5,882961082
459,7,5,879563245
546,7,5,885140689
527,7,5,879456162
583,7,5,879384471
60,7,5,883326241
44,7,5,878341246
264,7,5,886122261
367,7,5,876689878
343,7,5,876402941
514,7,5,875309415
758,7,5,881975243
176,7,5,886048188
249,7,5,879572760
689,7,5,876676334
452,7,5,885816915
823,7,5,878438298
825,7,5,880755612
465,7,5,883529916
276,7,5,874786517
786,7,5,882841955
387,7,5,886479528
865,7,5,880143425
883,7,5,891754985
770,7,5,875972185
296,7,5,884196896
551,7,5,892777638
805,7,5,881694693
886,7,5,876031330
108,7,5,879879812
802,7,5,875986303
864,7,5,878179608
532,7,5,893119415
831,7,5,891354947
379,7,5,891674489
627,7,5,879531158
119,7,5,874775185
838,7,5,887064072
697,7,5,882622798
500,7,5,883865104
795,7,5,880557294
843,7,5,879443297
680,7,5,876816310
913,7,5,881725846
867,7,5,880078604
862,7,5,879304196
671,7,5,875388719
622,7,5,882590269
576,7,5,886985003
868,7,5,877104157
130,7,5,874953557
58,7,5,884304656
592,7,5,882607986
603,7,5,891956075
279,7,5,891209102
158,7,5,880132744
52,7,5,882922204
535,7,5,879618776
16,8,5,877722736
115,8,5,881171982
298,8,5,884182748
158,8,5,880134948
96,8,5,884403020
62,8,5,879373820
234,8,5,892079585
330,8,5,876546236
7,8,5,891351328
230,8,5,880484501
379,8,5,880525194
312,8,5,891699263
